ppl: 3.054487943649292
nlls:tensor(1.3769, device='cuda:0')
tensor(1.0935, device='cuda:0')
tensor(1.3948, device='cuda:0')
tensor(1.4597, device='cuda:0')
tensor(1.5568, device='cuda:0')
tensor(1.0483, device='cuda:0')
tensor(1.0821, device='cuda:0')
tensor(1.2225, device='cuda:0')
tensor(1.1188, device='cuda:0')
tensor(1.3212, device='cuda:0')
tensor(1.5238, device='cuda:0')
tensor(1.2187, device='cuda:0')
tensor(1.1877, device='cuda:0')
tensor(0.9202, device='cuda:0')
tensor(0.8397, device='cuda:0')
tensor(0.8537, device='cuda:0')
tensor(1.1305, device='cuda:0')
tensor(0.9148, device='cuda:0')
tensor(0.9192, device='cuda:0')
tensor(0.6461, device='cuda:0')
tensor(2.0031, device='cuda:0')
tensor(1.8746, device='cuda:0')
tensor(1.7304, device='cuda:0')
tensor(1.5903, device='cuda:0')
tensor(1.5323, device='cuda:0')
tensor(1.5760, device='cuda:0')
tensor(1.1471, device='cuda:0')
tensor(1.7110, device='cuda:0')
tensor(2.1307, device='cuda:0')
tensor(2.2122, device='cuda:0')
tensor(2.0681, device='cuda:0')
tensor(2.0332, device='cuda:0')
tensor(1.7759, device='cuda:0')
tensor(2.2984, device='cuda:0')
tensor(2.1233, device='cuda:0')
tensor(1.3629, device='cuda:0')
tensor(1.5113, device='cuda:0')
tensor(1.8494, device='cuda:0')
tensor(0.9203, device='cuda:0')
tensor(1.4193, device='cuda:0')
tensor(1.5416, device='cuda:0')
tensor(1.4785, device='cuda:0')
tensor(1.6725, device='cuda:0')
tensor(1.4944, device='cuda:0')
tensor(1.5320, device='cuda:0')
tensor(1.3059, device='cuda:0')
tensor(2.0039, device='cuda:0')
tensor(1.9066, device='cuda:0')
tensor(1.9884, device='cuda:0')
tensor(1.5582, device='cuda:0')
tensor(1.2644, device='cuda:0')
tensor(1.8594, device='cuda:0')
tensor(1.4309, device='cuda:0')
tensor(1.5597, device='cuda:0')
tensor(1.5816, device='cuda:0')
tensor(1.2867, device='cuda:0')
tensor(1.1216, device='cuda:0')
tensor(0.9074, device='cuda:0')
tensor(1.0309, device='cuda:0')
tensor(1.0069, device='cuda:0')
tensor(1.5136, device='cuda:0')
tensor(1.4675, device='cuda:0')
tensor(1.2959, device='cuda:0')
tensor(0.7713, device='cuda:0')
tensor(0.9788, device='cuda:0')
tensor(0.9373, device='cuda:0')
tensor(0.7192, device='cuda:0')
tensor(0.4056, device='cuda:0')
tensor(0.3365, device='cuda:0')
tensor(0.5162, device='cuda:0')
tensor(0.5770, device='cuda:0')
tensor(0.7280, device='cuda:0')
tensor(0.7310, device='cuda:0')
tensor(0.8785, device='cuda:0')
tensor(0.6784, device='cuda:0')
tensor(0.7160, device='cuda:0')
tensor(0.8466, device='cuda:0')
tensor(0.6962, device='cuda:0')
tensor(0.5592, device='cuda:0')
tensor(0.5590, device='cuda:0')
tensor(0.5028, device='cuda:0')
tensor(0.7202, device='cuda:0')
tensor(0.9335, device='cuda:0')
tensor(0.8090, device='cuda:0')
tensor(0.4607, device='cuda:0')
tensor(0.6627, device='cuda:0')
tensor(0.9763, device='cuda:0')
tensor(1.0514, device='cuda:0')
tensor(1.0213, device='cuda:0')
tensor(0.8884, device='cuda:0')
tensor(1.0332, device='cuda:0')
tensor(0.9447, device='cuda:0')
tensor(0.9131, device='cuda:0')
tensor(1.1233, device='cuda:0')
tensor(1.5303, device='cuda:0')
tensor(1.1677, device='cuda:0')
tensor(0.8920, device='cuda:0')
tensor(0.8021, device='cuda:0')
tensor(0.8033, device='cuda:0')
tensor(1.4100, device='cuda:0')
