ppl: 2.846122980117798
nlls:tensor(1.2230, device='cuda:0')
tensor(1.1473, device='cuda:0')
tensor(0.9623, device='cuda:0')
tensor(0.9642, device='cuda:0')
tensor(0.8357, device='cuda:0')
tensor(0.7283, device='cuda:0')
tensor(0.9195, device='cuda:0')
tensor(0.8870, device='cuda:0')
tensor(0.8699, device='cuda:0')
tensor(0.8683, device='cuda:0')
tensor(0.9342, device='cuda:0')
tensor(0.8828, device='cuda:0')
tensor(0.7773, device='cuda:0')
tensor(0.8581, device='cuda:0')
tensor(0.9711, device='cuda:0')
tensor(0.9148, device='cuda:0')
tensor(0.9049, device='cuda:0')
tensor(1.7319, device='cuda:0')
tensor(1.4128, device='cuda:0')
tensor(1.0989, device='cuda:0')
tensor(0.7851, device='cuda:0')
tensor(0.7580, device='cuda:0')
tensor(1.2571, device='cuda:0')
tensor(1.1160, device='cuda:0')
tensor(1.3560, device='cuda:0')
tensor(1.2522, device='cuda:0')
tensor(0.7134, device='cuda:0')
tensor(0.9902, device='cuda:0')
tensor(1.1112, device='cuda:0')
tensor(0.9302, device='cuda:0')
tensor(1.1414, device='cuda:0')
tensor(0.9073, device='cuda:0')
tensor(0.7782, device='cuda:0')
tensor(0.8317, device='cuda:0')
tensor(0.8078, device='cuda:0')
tensor(0.6973, device='cuda:0')
tensor(0.6541, device='cuda:0')
tensor(0.6341, device='cuda:0')
tensor(0.7914, device='cuda:0')
tensor(0.5963, device='cuda:0')
tensor(0.6920, device='cuda:0')
tensor(0.5431, device='cuda:0')
tensor(0.7982, device='cuda:0')
tensor(0.8313, device='cuda:0')
tensor(1.0988, device='cuda:0')
tensor(0.8044, device='cuda:0')
tensor(0.5632, device='cuda:0')
tensor(1.0510, device='cuda:0')
tensor(1.0008, device='cuda:0')
tensor(1.0863, device='cuda:0')
tensor(0.8181, device='cuda:0')
tensor(1.0279, device='cuda:0')
tensor(0.9259, device='cuda:0')
tensor(0.8544, device='cuda:0')
tensor(0.9198, device='cuda:0')
tensor(1.1969, device='cuda:0')
tensor(0.7198, device='cuda:0')
tensor(0.8177, device='cuda:0')
tensor(0.6712, device='cuda:0')
tensor(0.8648, device='cuda:0')
tensor(1.1318, device='cuda:0')
tensor(0.8754, device='cuda:0')
tensor(0.8456, device='cuda:0')
tensor(0.8766, device='cuda:0')
tensor(0.7584, device='cuda:0')
tensor(0.8992, device='cuda:0')
tensor(0.6986, device='cuda:0')
tensor(0.5620, device='cuda:0')
tensor(0.6052, device='cuda:0')
tensor(0.5330, device='cuda:0')
tensor(0.7935, device='cuda:0')
tensor(0.6780, device='cuda:0')
tensor(1.2771, device='cuda:0')
tensor(0.8014, device='cuda:0')
tensor(1.3153, device='cuda:0')
tensor(1.0823, device='cuda:0')
tensor(1.1898, device='cuda:0')
tensor(1.2821, device='cuda:0')
tensor(1.2676, device='cuda:0')
tensor(1.4856, device='cuda:0')
tensor(0.9209, device='cuda:0')
tensor(1.2918, device='cuda:0')
tensor(1.2600, device='cuda:0')
tensor(1.1567, device='cuda:0')
tensor(1.3302, device='cuda:0')
tensor(1.0552, device='cuda:0')
tensor(1.4934, device='cuda:0')
tensor(0.7370, device='cuda:0')
tensor(1.1029, device='cuda:0')
tensor(1.0228, device='cuda:0')
tensor(0.9077, device='cuda:0')
tensor(1.0642, device='cuda:0')
tensor(0.9093, device='cuda:0')
tensor(1.1687, device='cuda:0')
tensor(0.4466, device='cuda:0')
tensor(1.0462, device='cuda:0')
tensor(0.4024, device='cuda:0')
tensor(0.7590, device='cuda:0')
tensor(0.4172, device='cuda:0')
tensor(1.2077, device='cuda:0')
tensor(1.3519, device='cuda:0')
tensor(1.2323, device='cuda:0')
tensor(0.9903, device='cuda:0')
tensor(1.4665, device='cuda:0')
tensor(1.3661, device='cuda:0')
tensor(0.8087, device='cuda:0')
tensor(0.8048, device='cuda:0')
tensor(0.7474, device='cuda:0')
tensor(0.8774, device='cuda:0')
tensor(0.7753, device='cuda:0')
tensor(0.6699, device='cuda:0')
tensor(0.7928, device='cuda:0')
tensor(0.8567, device='cuda:0')
tensor(0.9642, device='cuda:0')
tensor(0.9326, device='cuda:0')
tensor(1.0586, device='cuda:0')
tensor(0.8559, device='cuda:0')
tensor(0.8945, device='cuda:0')
tensor(0.7123, device='cuda:0')
tensor(0.9732, device='cuda:0')
tensor(0.7908, device='cuda:0')
tensor(0.8907, device='cuda:0')
tensor(0.8194, device='cuda:0')
tensor(0.9544, device='cuda:0')
tensor(0.7549, device='cuda:0')
tensor(0.8724, device='cuda:0')
tensor(0.9372, device='cuda:0')
tensor(0.7016, device='cuda:0')
tensor(0.8055, device='cuda:0')
tensor(0.7790, device='cuda:0')
tensor(0.7860, device='cuda:0')
tensor(0.8305, device='cuda:0')
tensor(0.6109, device='cuda:0')
tensor(1.0255, device='cuda:0')
tensor(0.9782, device='cuda:0')
tensor(1.1372, device='cuda:0')
tensor(0.9125, device='cuda:0')
tensor(0.9323, device='cuda:0')
tensor(0.7989, device='cuda:0')
tensor(0.8101, device='cuda:0')
tensor(1.0217, device='cuda:0')
tensor(1.0164, device='cuda:0')
tensor(0.9626, device='cuda:0')
tensor(0.8447, device='cuda:0')
tensor(0.8512, device='cuda:0')
tensor(0.7866, device='cuda:0')
tensor(0.9666, device='cuda:0')
tensor(1.0024, device='cuda:0')
tensor(1.1552, device='cuda:0')
tensor(1.1862, device='cuda:0')
tensor(0.7445, device='cuda:0')
tensor(0.7515, device='cuda:0')
tensor(1.1379, device='cuda:0')
tensor(0.8891, device='cuda:0')
tensor(0.7706, device='cuda:0')
tensor(0.8617, device='cuda:0')
tensor(0.7391, device='cuda:0')
tensor(0.9663, device='cuda:0')
tensor(0.8057, device='cuda:0')
tensor(1.0000, device='cuda:0')
tensor(0.8977, device='cuda:0')
tensor(1.1197, device='cuda:0')
tensor(0.9160, device='cuda:0')
tensor(1.0627, device='cuda:0')
tensor(1.0616, device='cuda:0')
tensor(0.8335, device='cuda:0')
tensor(1.1308, device='cuda:0')
tensor(1.1465, device='cuda:0')
tensor(0.9319, device='cuda:0')
tensor(1.2216, device='cuda:0')
tensor(0.9838, device='cuda:0')
tensor(1.1848, device='cuda:0')
tensor(1.2877, device='cuda:0')
tensor(1.3524, device='cuda:0')
tensor(1.0664, device='cuda:0')
tensor(1.0852, device='cuda:0')
tensor(1.5337, device='cuda:0')
tensor(1.4987, device='cuda:0')
tensor(1.1948, device='cuda:0')
tensor(0.8809, device='cuda:0')
tensor(0.8346, device='cuda:0')
tensor(0.7677, device='cuda:0')
tensor(0.7725, device='cuda:0')
tensor(0.7643, device='cuda:0')
tensor(1.1858, device='cuda:0')
tensor(1.0273, device='cuda:0')
tensor(1.0649, device='cuda:0')
tensor(1.2177, device='cuda:0')
tensor(1.2464, device='cuda:0')
tensor(1.0355, device='cuda:0')
tensor(1.1950, device='cuda:0')
tensor(1.1679, device='cuda:0')
tensor(1.6873, device='cuda:0')
tensor(0.6185, device='cuda:0')
tensor(0.8399, device='cuda:0')
tensor(0.8346, device='cuda:0')
tensor(0.8815, device='cuda:0')
tensor(0.8458, device='cuda:0')
tensor(0.9421, device='cuda:0')
tensor(0.7289, device='cuda:0')
tensor(0.8642, device='cuda:0')
tensor(1.0038, device='cuda:0')
tensor(0.6893, device='cuda:0')
tensor(1.0494, device='cuda:0')
tensor(1.2303, device='cuda:0')
tensor(1.5000, device='cuda:0')
tensor(1.3882, device='cuda:0')
tensor(1.1551, device='cuda:0')
tensor(1.2253, device='cuda:0')
tensor(1.2032, device='cuda:0')
tensor(1.5469, device='cuda:0')
tensor(1.0922, device='cuda:0')
tensor(1.0714, device='cuda:0')
tensor(1.0506, device='cuda:0')
tensor(0.9112, device='cuda:0')
tensor(0.8876, device='cuda:0')
tensor(0.6891, device='cuda:0')
tensor(0.9083, device='cuda:0')
tensor(0.9817, device='cuda:0')
tensor(0.7068, device='cuda:0')
tensor(0.5691, device='cuda:0')
tensor(1.1150, device='cuda:0')
tensor(0.7207, device='cuda:0')
tensor(1.2292, device='cuda:0')
tensor(1.2050, device='cuda:0')
tensor(1.2383, device='cuda:0')
tensor(1.0958, device='cuda:0')
tensor(0.9302, device='cuda:0')
tensor(0.9716, device='cuda:0')
tensor(1.0325, device='cuda:0')
tensor(1.0708, device='cuda:0')
tensor(1.2443, device='cuda:0')
tensor(1.2340, device='cuda:0')
tensor(0.6635, device='cuda:0')
tensor(0.6426, device='cuda:0')
tensor(0.6773, device='cuda:0')
tensor(0.8186, device='cuda:0')
tensor(0.7490, device='cuda:0')
tensor(0.8624, device='cuda:0')
tensor(0.8565, device='cuda:0')
tensor(1.0089, device='cuda:0')
tensor(1.7268, device='cuda:0')
tensor(1.6124, device='cuda:0')
tensor(1.3732, device='cuda:0')
tensor(1.3864, device='cuda:0')
tensor(0.9940, device='cuda:0')
tensor(1.2389, device='cuda:0')
tensor(1.3089, device='cuda:0')
tensor(1.1220, device='cuda:0')
tensor(1.3359, device='cuda:0')
tensor(1.4124, device='cuda:0')
tensor(1.3397, device='cuda:0')
tensor(1.1238, device='cuda:0')
tensor(1.3748, device='cuda:0')
tensor(1.2666, device='cuda:0')
tensor(1.5184, device='cuda:0')
tensor(1.1744, device='cuda:0')
tensor(1.1107, device='cuda:0')
tensor(1.1222, device='cuda:0')
tensor(1.3272, device='cuda:0')
tensor(1.0398, device='cuda:0')
tensor(1.0336, device='cuda:0')
tensor(0.9855, device='cuda:0')
tensor(0.7085, device='cuda:0')
tensor(1.4806, device='cuda:0')
tensor(1.5507, device='cuda:0')
tensor(1.9413, device='cuda:0')
tensor(1.5204, device='cuda:0')
tensor(1.4566, device='cuda:0')
tensor(1.5648, device='cuda:0')
tensor(1.4169, device='cuda:0')
tensor(1.6146, device='cuda:0')
tensor(1.4194, device='cuda:0')
tensor(1.1599, device='cuda:0')
tensor(1.4577, device='cuda:0')
tensor(1.3444, device='cuda:0')
tensor(1.3854, device='cuda:0')
tensor(1.2933, device='cuda:0')
tensor(1.0670, device='cuda:0')
tensor(1.2912, device='cuda:0')
tensor(1.1787, device='cuda:0')
tensor(1.4278, device='cuda:0')
tensor(1.2029, device='cuda:0')
tensor(1.3270, device='cuda:0')
tensor(1.6217, device='cuda:0')
tensor(0.8442, device='cuda:0')
tensor(0.7711, device='cuda:0')
tensor(0.5470, device='cuda:0')
tensor(0.5552, device='cuda:0')
tensor(0.7864, device='cuda:0')
tensor(0.5952, device='cuda:0')
tensor(0.6380, device='cuda:0')
tensor(0.7221, device='cuda:0')
tensor(0.6093, device='cuda:0')
tensor(0.7390, device='cuda:0')
tensor(0.6806, device='cuda:0')
tensor(0.7497, device='cuda:0')
tensor(1.1744, device='cuda:0')
tensor(1.2361, device='cuda:0')
tensor(1.2338, device='cuda:0')
tensor(0.9622, device='cuda:0')
tensor(1.3822, device='cuda:0')
tensor(1.3204, device='cuda:0')
tensor(0.9381, device='cuda:0')
tensor(0.7816, device='cuda:0')
tensor(0.9746, device='cuda:0')
tensor(1.0718, device='cuda:0')
tensor(0.9442, device='cuda:0')
tensor(0.9113, device='cuda:0')
tensor(0.8916, device='cuda:0')
tensor(1.1090, device='cuda:0')
tensor(1.0022, device='cuda:0')
tensor(0.7672, device='cuda:0')
tensor(0.8181, device='cuda:0')
tensor(0.7479, device='cuda:0')
tensor(0.9042, device='cuda:0')
tensor(0.9893, device='cuda:0')
tensor(0.7921, device='cuda:0')
tensor(0.5800, device='cuda:0')
tensor(0.5785, device='cuda:0')
tensor(0.7426, device='cuda:0')
tensor(0.5418, device='cuda:0')
tensor(0.9942, device='cuda:0')
tensor(1.0931, device='cuda:0')
tensor(0.8424, device='cuda:0')
tensor(1.0992, device='cuda:0')
tensor(1.0028, device='cuda:0')
tensor(0.7493, device='cuda:0')
tensor(0.8375, device='cuda:0')
tensor(0.8774, device='cuda:0')
tensor(1.4146, device='cuda:0')
tensor(1.0503, device='cuda:0')
tensor(1.1695, device='cuda:0')
tensor(0.9108, device='cuda:0')
tensor(0.9863, device='cuda:0')
tensor(0.9530, device='cuda:0')
tensor(1.2199, device='cuda:0')
tensor(1.2236, device='cuda:0')
tensor(1.2433, device='cuda:0')
tensor(1.1155, device='cuda:0')
tensor(1.3623, device='cuda:0')
tensor(1.0179, device='cuda:0')
tensor(0.8302, device='cuda:0')
tensor(0.8352, device='cuda:0')
tensor(0.9042, device='cuda:0')
tensor(0.9953, device='cuda:0')
tensor(1.2714, device='cuda:0')
tensor(0.8208, device='cuda:0')
tensor(0.8622, device='cuda:0')
tensor(0.9603, device='cuda:0')
tensor(0.8259, device='cuda:0')
tensor(0.9945, device='cuda:0')
tensor(1.2318, device='cuda:0')
tensor(1.3149, device='cuda:0')
tensor(1.2199, device='cuda:0')
tensor(1.3963, device='cuda:0')
tensor(1.7825, device='cuda:0')
tensor(1.5011, device='cuda:0')
tensor(1.1129, device='cuda:0')
tensor(1.0219, device='cuda:0')
tensor(1.2626, device='cuda:0')
tensor(1.4443, device='cuda:0')
tensor(1.2549, device='cuda:0')
tensor(1.0595, device='cuda:0')
tensor(0.8807, device='cuda:0')
tensor(0.8069, device='cuda:0')
tensor(0.7279, device='cuda:0')
tensor(0.8059, device='cuda:0')
tensor(1.0684, device='cuda:0')
tensor(1.1608, device='cuda:0')
tensor(1.0902, device='cuda:0')
tensor(1.1849, device='cuda:0')
tensor(0.7600, device='cuda:0')
tensor(0.7108, device='cuda:0')
tensor(1.3622, device='cuda:0')
tensor(1.7477, device='cuda:0')
tensor(1.7419, device='cuda:0')
tensor(1.5637, device='cuda:0')
tensor(1.0960, device='cuda:0')
tensor(1.0748, device='cuda:0')
