ppl: 3.4328527450561523
nlls:tensor(1.5452, device='cuda:0')
tensor(1.1482, device='cuda:0')
tensor(1.6895, device='cuda:0')
tensor(1.7898, device='cuda:0')
tensor(1.2624, device='cuda:0')
tensor(1.0457, device='cuda:0')
tensor(1.3571, device='cuda:0')
tensor(1.1603, device='cuda:0')
tensor(1.5509, device='cuda:0')
tensor(1.5687, device='cuda:0')
tensor(1.2376, device='cuda:0')
tensor(1.1575, device='cuda:0')
tensor(0.9014, device='cuda:0')
tensor(0.9488, device='cuda:0')
tensor(1.1443, device='cuda:0')
tensor(0.9537, device='cuda:0')
tensor(1.0167, device='cuda:0')
tensor(1.2340, device='cuda:0')
tensor(2.3704, device='cuda:0')
tensor(2.1403, device='cuda:0')
tensor(1.6717, device='cuda:0')
tensor(1.8348, device='cuda:0')
tensor(1.7458, device='cuda:0')
tensor(1.2517, device='cuda:0')
tensor(1.8822, device='cuda:0')
tensor(2.3837, device='cuda:0')
tensor(2.5769, device='cuda:0')
tensor(2.3971, device='cuda:0')
tensor(2.1963, device='cuda:0')
tensor(2.1876, device='cuda:0')
tensor(2.6642, device='cuda:0')
tensor(1.9476, device='cuda:0')
tensor(1.7222, device='cuda:0')
tensor(2.2632, device='cuda:0')
tensor(1.3029, device='cuda:0')
tensor(1.5014, device='cuda:0')
tensor(1.9344, device='cuda:0')
tensor(1.8345, device='cuda:0')
tensor(1.9416, device='cuda:0')
tensor(1.7025, device='cuda:0')
tensor(1.9825, device='cuda:0')
tensor(2.0722, device='cuda:0')
tensor(2.2458, device='cuda:0')
tensor(2.7825, device='cuda:0')
tensor(2.3659, device='cuda:0')
tensor(1.2556, device='cuda:0')
tensor(2.0302, device='cuda:0')
tensor(1.9245, device='cuda:0')
tensor(1.8234, device='cuda:0')
tensor(1.7791, device='cuda:0')
tensor(1.3563, device='cuda:0')
tensor(1.0569, device='cuda:0')
tensor(1.0836, device='cuda:0')
tensor(1.4360, device='cuda:0')
tensor(1.3501, device='cuda:0')
tensor(1.8069, device='cuda:0')
tensor(1.0255, device='cuda:0')
tensor(1.0800, device='cuda:0')
tensor(1.0461, device='cuda:0')
tensor(0.7353, device='cuda:0')
tensor(0.3653, device='cuda:0')
tensor(0.5855, device='cuda:0')
tensor(0.5822, device='cuda:0')
tensor(1.0463, device='cuda:0')
tensor(0.7476, device='cuda:0')
tensor(0.8787, device='cuda:0')
tensor(0.9060, device='cuda:0')
tensor(0.8805, device='cuda:0')
tensor(0.8820, device='cuda:0')
tensor(0.6230, device='cuda:0')
tensor(0.7644, device='cuda:0')
tensor(0.6125, device='cuda:0')
tensor(1.2013, device='cuda:0')
tensor(0.6995, device='cuda:0')
tensor(0.8738, device='cuda:0')
tensor(1.1276, device='cuda:0')
tensor(1.1777, device='cuda:0')
tensor(0.8677, device='cuda:0')
tensor(1.0869, device='cuda:0')
tensor(1.0562, device='cuda:0')
tensor(0.9261, device='cuda:0')
tensor(1.6312, device='cuda:0')
tensor(1.4887, device='cuda:0')
tensor(1.0211, device='cuda:0')
tensor(0.8696, device='cuda:0')
tensor(0.8945, device='cuda:0')
tensor(1.5324, device='cuda:0')
tensor(1.7270, device='cuda:0')
tensor(1.6207, device='cuda:0')
tensor(1.6889, device='cuda:0')
tensor(1.3798, device='cuda:0')
tensor(1.8753, device='cuda:0')
tensor(1.4902, device='cuda:0')
tensor(0.9325, device='cuda:0')
tensor(1.1612, device='cuda:0')
tensor(1.1204, device='cuda:0')
tensor(1.2618, device='cuda:0')
tensor(1.1174, device='cuda:0')
tensor(0.8091, device='cuda:0')
tensor(1.0107, device='cuda:0')
tensor(0.9976, device='cuda:0')
tensor(0.9801, device='cuda:0')
tensor(1.0862, device='cuda:0')
tensor(1.9916, device='cuda:0')
tensor(1.0857, device='cuda:0')
tensor(0.5406, device='cuda:0')
tensor(0.5766, device='cuda:0')
tensor(0.5533, device='cuda:0')
tensor(0.4045, device='cuda:0')
tensor(0.4999, device='cuda:0')
tensor(1.0839, device='cuda:0')
tensor(1.4955, device='cuda:0')
tensor(1.0935, device='cuda:0')
tensor(0.9870, device='cuda:0')
tensor(1.0295, device='cuda:0')
tensor(1.3042, device='cuda:0')
tensor(1.7940, device='cuda:0')
tensor(2.1225, device='cuda:0')
tensor(1.9982, device='cuda:0')
tensor(1.1349, device='cuda:0')
tensor(1.3143, device='cuda:0')
tensor(1.3405, device='cuda:0')
tensor(1.2090, device='cuda:0')
tensor(1.3432, device='cuda:0')
tensor(1.2637, device='cuda:0')
tensor(1.3531, device='cuda:0')
tensor(1.3594, device='cuda:0')
tensor(1.6597, device='cuda:0')
tensor(1.5372, device='cuda:0')
tensor(2.1985, device='cuda:0')
tensor(2.4163, device='cuda:0')
tensor(1.0384, device='cuda:0')
tensor(0.7454, device='cuda:0')
tensor(1.1165, device='cuda:0')
tensor(1.0230, device='cuda:0')
tensor(0.8348, device='cuda:0')
tensor(1.0472, device='cuda:0')
tensor(1.0104, device='cuda:0')
tensor(0.9444, device='cuda:0')
tensor(0.9724, device='cuda:0')
tensor(0.7893, device='cuda:0')
tensor(0.8861, device='cuda:0')
tensor(0.9666, device='cuda:0')
tensor(0.7630, device='cuda:0')
tensor(1.0923, device='cuda:0')
tensor(1.3355, device='cuda:0')
tensor(0.9761, device='cuda:0')
tensor(1.2714, device='cuda:0')
tensor(1.0658, device='cuda:0')
tensor(1.1391, device='cuda:0')
tensor(1.2825, device='cuda:0')
tensor(0.9367, device='cuda:0')
tensor(0.8558, device='cuda:0')
tensor(1.1770, device='cuda:0')
tensor(1.3058, device='cuda:0')
tensor(1.0345, device='cuda:0')
tensor(1.1085, device='cuda:0')
tensor(1.7552, device='cuda:0')
tensor(1.1093, device='cuda:0')
tensor(1.1101, device='cuda:0')
tensor(1.7803, device='cuda:0')
tensor(1.9110, device='cuda:0')
tensor(1.3802, device='cuda:0')
tensor(1.1155, device='cuda:0')
tensor(1.5570, device='cuda:0')
tensor(0.9780, device='cuda:0')
tensor(1.0197, device='cuda:0')
tensor(1.0257, device='cuda:0')
tensor(0.9280, device='cuda:0')
tensor(1.0987, device='cuda:0')
tensor(0.8199, device='cuda:0')
tensor(0.8719, device='cuda:0')
tensor(1.0273, device='cuda:0')
