ppl: 3.125267267227173
nlls:tensor(1.3347, device='cuda:0')
tensor(1.1838, device='cuda:0')
tensor(0.9757, device='cuda:0')
tensor(0.8347, device='cuda:0')
tensor(0.8469, device='cuda:0')
tensor(0.9960, device='cuda:0')
tensor(0.9251, device='cuda:0')
tensor(0.9069, device='cuda:0')
tensor(1.0633, device='cuda:0')
tensor(0.9581, device='cuda:0')
tensor(0.8406, device='cuda:0')
tensor(0.9132, device='cuda:0')
tensor(1.0039, device='cuda:0')
tensor(0.9251, device='cuda:0')
tensor(1.7216, device='cuda:0')
tensor(1.6032, device='cuda:0')
tensor(1.0901, device='cuda:0')
tensor(1.0669, device='cuda:0')
tensor(0.8339, device='cuda:0')
tensor(1.3402, device='cuda:0')
tensor(1.1557, device='cuda:0')
tensor(1.5724, device='cuda:0')
tensor(0.8885, device='cuda:0')
tensor(1.2177, device='cuda:0')
tensor(1.0455, device='cuda:0')
tensor(0.9124, device='cuda:0')
tensor(1.2992, device='cuda:0')
tensor(0.7208, device='cuda:0')
tensor(0.7852, device='cuda:0')
tensor(0.9498, device='cuda:0')
tensor(0.8238, device='cuda:0')
tensor(0.6580, device='cuda:0')
tensor(0.7430, device='cuda:0')
tensor(0.7705, device='cuda:0')
tensor(0.6946, device='cuda:0')
tensor(0.6867, device='cuda:0')
tensor(0.8804, device='cuda:0')
tensor(1.1181, device='cuda:0')
tensor(0.9446, device='cuda:0')
tensor(0.6873, device='cuda:0')
tensor(0.9493, device='cuda:0')
tensor(1.2372, device='cuda:0')
tensor(1.1066, device='cuda:0')
tensor(1.0139, device='cuda:0')
tensor(0.9998, device='cuda:0')
tensor(0.9374, device='cuda:0')
tensor(0.9094, device='cuda:0')
tensor(1.2563, device='cuda:0')
tensor(0.7236, device='cuda:0')
tensor(0.8511, device='cuda:0')
tensor(0.6764, device='cuda:0')
tensor(1.1254, device='cuda:0')
tensor(0.8681, device='cuda:0')
tensor(0.8288, device='cuda:0')
tensor(0.8322, device='cuda:0')
tensor(0.8483, device='cuda:0')
tensor(0.8032, device='cuda:0')
