ppl: 4.1214704513549805
nlls:tensor(1.5436, device='cuda:0')
tensor(1.9099, device='cuda:0')
tensor(1.3737, device='cuda:0')
tensor(1.4412, device='cuda:0')
tensor(1.7358, device='cuda:0')
tensor(1.4080, device='cuda:0')
tensor(1.1274, device='cuda:0')
tensor(1.2412, device='cuda:0')
tensor(1.2807, device='cuda:0')
tensor(2.2812, device='cuda:0')
tensor(1.9005, device='cuda:0')
tensor(1.6100, device='cuda:0')
tensor(2.2255, device='cuda:0')
tensor(2.5283, device='cuda:0')
tensor(2.2850, device='cuda:0')
tensor(2.3601, device='cuda:0')
tensor(2.0921, device='cuda:0')
tensor(1.5348, device='cuda:0')
tensor(1.9502, device='cuda:0')
tensor(1.8555, device='cuda:0')
tensor(2.0237, device='cuda:0')
tensor(2.3637, device='cuda:0')
tensor(1.7214, device='cuda:0')
tensor(2.0844, device='cuda:0')
tensor(1.9378, device='cuda:0')
tensor(1.4011, device='cuda:0')
tensor(1.4649, device='cuda:0')
tensor(1.8460, device='cuda:0')
tensor(1.2130, device='cuda:0')
tensor(1.0394, device='cuda:0')
tensor(0.5639, device='cuda:0')
tensor(0.9460, device='cuda:0')
tensor(0.9364, device='cuda:0')
tensor(1.0379, device='cuda:0')
tensor(0.8695, device='cuda:0')
tensor(0.7980, device='cuda:0')
tensor(1.0855, device='cuda:0')
tensor(1.1418, device='cuda:0')
tensor(1.2535, device='cuda:0')
tensor(1.2942, device='cuda:0')
tensor(1.4949, device='cuda:0')
tensor(1.4912, device='cuda:0')
tensor(1.0408, device='cuda:0')
tensor(1.8110, device='cuda:0')
tensor(1.8204, device='cuda:0')
tensor(1.8058, device='cuda:0')
tensor(1.4967, device='cuda:0')
tensor(1.4079, device='cuda:0')
tensor(1.4642, device='cuda:0')
tensor(1.1118, device='cuda:0')
tensor(1.2488, device='cuda:0')
tensor(1.7144, device='cuda:0')
tensor(0.9667, device='cuda:0')
tensor(0.7626, device='cuda:0')
tensor(0.5909, device='cuda:0')
tensor(1.5638, device='cuda:0')
tensor(1.2162, device='cuda:0')
tensor(1.3620, device='cuda:0')
tensor(2.0012, device='cuda:0')
tensor(1.6604, device='cuda:0')
tensor(1.4431, device='cuda:0')
tensor(1.4967, device='cuda:0')
tensor(1.4778, device='cuda:0')
tensor(1.6586, device='cuda:0')
tensor(1.9124, device='cuda:0')
tensor(1.7993, device='cuda:0')
tensor(1.1297, device='cuda:0')
tensor(1.1144, device='cuda:0')
tensor(1.2443, device='cuda:0')
tensor(1.1513, device='cuda:0')
tensor(0.9970, device='cuda:0')
tensor(1.0216, device='cuda:0')
tensor(1.3972, device='cuda:0')
tensor(1.3049, device='cuda:0')
tensor(1.2764, device='cuda:0')
tensor(1.3150, device='cuda:0')
tensor(1.1912, device='cuda:0')
tensor(1.3444, device='cuda:0')
tensor(1.6105, device='cuda:0')
tensor(1.2863, device='cuda:0')
tensor(1.9896, device='cuda:0')
tensor(1.4420, device='cuda:0')
tensor(1.5491, device='cuda:0')
tensor(1.2503, device='cuda:0')
tensor(1.2187, device='cuda:0')
tensor(1.0753, device='cuda:0')
tensor(1.2484, device='cuda:0')
tensor(1.1049, device='cuda:0')
tensor(1.1279, device='cuda:0')
tensor(1.9204, device='cuda:0')
tensor(1.9105, device='cuda:0')
tensor(1.6584, device='cuda:0')
tensor(1.3433, device='cuda:0')
tensor(1.4310, device='cuda:0')
tensor(1.3143, device='cuda:0')
tensor(1.5932, device='cuda:0')
tensor(1.9029, device='cuda:0')
tensor(1.4606, device='cuda:0')
tensor(1.5705, device='cuda:0')
tensor(1.1054, device='cuda:0')
tensor(1.0152, device='cuda:0')
tensor(1.1176, device='cuda:0')
tensor(1.0916, device='cuda:0')
tensor(1.9284, device='cuda:0')
tensor(1.8356, device='cuda:0')
tensor(1.7611, device='cuda:0')
tensor(1.7443, device='cuda:0')
tensor(1.7649, device='cuda:0')
tensor(1.2849, device='cuda:0')
tensor(1.3262, device='cuda:0')
tensor(1.5715, device='cuda:0')
tensor(1.5823, device='cuda:0')
tensor(1.5551, device='cuda:0')
tensor(1.7544, device='cuda:0')
tensor(2.0236, device='cuda:0')
tensor(1.3589, device='cuda:0')
tensor(1.1198, device='cuda:0')
tensor(1.7542, device='cuda:0')
tensor(1.9911, device='cuda:0')
tensor(1.3263, device='cuda:0')
tensor(1.6214, device='cuda:0')
tensor(1.3508, device='cuda:0')
tensor(0.9237, device='cuda:0')
tensor(1.0179, device='cuda:0')
tensor(1.3225, device='cuda:0')
tensor(1.1722, device='cuda:0')
tensor(1.3303, device='cuda:0')
tensor(2.0022, device='cuda:0')
tensor(1.7227, device='cuda:0')
tensor(1.5918, device='cuda:0')
tensor(1.5994, device='cuda:0')
tensor(1.9415, device='cuda:0')
tensor(2.0749, device='cuda:0')
tensor(1.6925, device='cuda:0')
tensor(1.6922, device='cuda:0')
tensor(1.6643, device='cuda:0')
tensor(1.4551, device='cuda:0')
tensor(1.1185, device='cuda:0')
tensor(1.4330, device='cuda:0')
tensor(1.5495, device='cuda:0')
tensor(1.2736, device='cuda:0')
tensor(1.7017, device='cuda:0')
tensor(1.6588, device='cuda:0')
tensor(1.2751, device='cuda:0')
tensor(2.0422, device='cuda:0')
tensor(1.8115, device='cuda:0')
tensor(1.8786, device='cuda:0')
tensor(1.0543, device='cuda:0')
tensor(1.5297, device='cuda:0')
tensor(1.8602, device='cuda:0')
tensor(1.5508, device='cuda:0')
tensor(1.3542, device='cuda:0')
tensor(1.4001, device='cuda:0')
tensor(1.4171, device='cuda:0')
tensor(1.2341, device='cuda:0')
tensor(1.3480, device='cuda:0')
tensor(1.3578, device='cuda:0')
tensor(1.4716, device='cuda:0')
tensor(1.6986, device='cuda:0')
tensor(1.4523, device='cuda:0')
tensor(1.2069, device='cuda:0')
tensor(1.2885, device='cuda:0')
tensor(1.6548, device='cuda:0')
tensor(2.0217, device='cuda:0')
tensor(1.6259, device='cuda:0')
tensor(1.0218, device='cuda:0')
tensor(0.7422, device='cuda:0')
tensor(1.6895, device='cuda:0')
tensor(1.4088, device='cuda:0')
tensor(0.8413, device='cuda:0')
tensor(1.0215, device='cuda:0')
tensor(1.4531, device='cuda:0')
tensor(1.2213, device='cuda:0')
tensor(1.2099, device='cuda:0')
tensor(1.3208, device='cuda:0')
tensor(1.4456, device='cuda:0')
tensor(1.2570, device='cuda:0')
tensor(1.2699, device='cuda:0')
tensor(1.2548, device='cuda:0')
tensor(1.0897, device='cuda:0')
tensor(1.6901, device='cuda:0')
tensor(1.4116, device='cuda:0')
tensor(1.4009, device='cuda:0')
tensor(1.3173, device='cuda:0')
tensor(1.3227, device='cuda:0')
tensor(1.6071, device='cuda:0')
tensor(1.7847, device='cuda:0')
tensor(1.2883, device='cuda:0')
tensor(1.0981, device='cuda:0')
tensor(1.0474, device='cuda:0')
tensor(0.9736, device='cuda:0')
tensor(1.0855, device='cuda:0')
tensor(1.3445, device='cuda:0')
tensor(1.1791, device='cuda:0')
tensor(1.0125, device='cuda:0')
tensor(1.1659, device='cuda:0')
tensor(1.1421, device='cuda:0')
tensor(1.3266, device='cuda:0')
tensor(1.0589, device='cuda:0')
tensor(1.0776, device='cuda:0')
tensor(1.1398, device='cuda:0')
tensor(1.2800, device='cuda:0')
tensor(1.3699, device='cuda:0')
tensor(1.0068, device='cuda:0')
tensor(1.5131, device='cuda:0')
tensor(2.6723, device='cuda:0')
tensor(2.6608, device='cuda:0')
tensor(1.4718, device='cuda:0')
tensor(1.5653, device='cuda:0')
tensor(1.8206, device='cuda:0')
tensor(1.4569, device='cuda:0')
tensor(1.6522, device='cuda:0')
tensor(1.3110, device='cuda:0')
tensor(1.4067, device='cuda:0')
tensor(1.3184, device='cuda:0')
tensor(1.4565, device='cuda:0')
tensor(1.0573, device='cuda:0')
tensor(0.4558, device='cuda:0')
tensor(1.4747, device='cuda:0')
tensor(0.9632, device='cuda:0')
tensor(0.9979, device='cuda:0')
tensor(1.2309, device='cuda:0')
tensor(1.3420, device='cuda:0')
tensor(0.9339, device='cuda:0')
tensor(1.9451, device='cuda:0')
tensor(1.4106, device='cuda:0')
tensor(1.1879, device='cuda:0')
tensor(0.9904, device='cuda:0')
tensor(1.4314, device='cuda:0')
tensor(1.6208, device='cuda:0')
tensor(2.3144, device='cuda:0')
tensor(1.9990, device='cuda:0')
tensor(1.7134, device='cuda:0')
tensor(1.2370, device='cuda:0')
tensor(0.9409, device='cuda:0')
tensor(0.8219, device='cuda:0')
tensor(0.9613, device='cuda:0')
tensor(1.1528, device='cuda:0')
tensor(0.9620, device='cuda:0')
tensor(1.1544, device='cuda:0')
tensor(0.7769, device='cuda:0')
tensor(1.1507, device='cuda:0')
tensor(1.9063, device='cuda:0')
tensor(1.2551, device='cuda:0')
tensor(1.1433, device='cuda:0')
tensor(1.0679, device='cuda:0')
tensor(1.0865, device='cuda:0')
tensor(1.1277, device='cuda:0')
tensor(1.6156, device='cuda:0')
tensor(1.4598, device='cuda:0')
tensor(1.2713, device='cuda:0')
tensor(1.3138, device='cuda:0')
tensor(1.4067, device='cuda:0')
tensor(1.5047, device='cuda:0')
tensor(2.0323, device='cuda:0')
tensor(1.0752, device='cuda:0')
tensor(0.6348, device='cuda:0')
tensor(0.2977, device='cuda:0')
tensor(0.2862, device='cuda:0')
tensor(0.5247, device='cuda:0')
tensor(0.5761, device='cuda:0')
tensor(1.1628, device='cuda:0')
tensor(1.9695, device='cuda:0')
tensor(1.8354, device='cuda:0')
tensor(1.7554, device='cuda:0')
tensor(1.5579, device='cuda:0')
tensor(1.2452, device='cuda:0')
tensor(1.8874, device='cuda:0')
tensor(1.3259, device='cuda:0')
tensor(1.7710, device='cuda:0')
tensor(1.8455, device='cuda:0')
