ppl: 3.815035343170166
nlls:tensor(1.4527, device='cuda:0')
tensor(1.0933, device='cuda:0')
tensor(1.0919, device='cuda:0')
tensor(1.0733, device='cuda:0')
tensor(1.1570, device='cuda:0')
tensor(1.0464, device='cuda:0')
tensor(1.1402, device='cuda:0')
tensor(1.8068, device='cuda:0')
tensor(1.2822, device='cuda:0')
tensor(1.2695, device='cuda:0')
tensor(1.5441, device='cuda:0')
tensor(1.2499, device='cuda:0')
tensor(1.3061, device='cuda:0')
tensor(1.2746, device='cuda:0')
tensor(1.0734, device='cuda:0')
tensor(0.9098, device='cuda:0')
tensor(0.9295, device='cuda:0')
tensor(0.8435, device='cuda:0')
tensor(1.2298, device='cuda:0')
tensor(1.0127, device='cuda:0')
tensor(1.3583, device='cuda:0')
tensor(1.3406, device='cuda:0')
tensor(1.2246, device='cuda:0')
tensor(1.3412, device='cuda:0')
tensor(0.9698, device='cuda:0')
tensor(1.1658, device='cuda:0')
tensor(1.1970, device='cuda:0')
tensor(1.1287, device='cuda:0')
tensor(1.0022, device='cuda:0')
tensor(0.7593, device='cuda:0')
tensor(1.0193, device='cuda:0')
tensor(1.2707, device='cuda:0')
tensor(1.5688, device='cuda:0')
tensor(1.5745, device='cuda:0')
tensor(1.5479, device='cuda:0')
tensor(1.6098, device='cuda:0')
tensor(1.4618, device='cuda:0')
tensor(1.2402, device='cuda:0')
tensor(1.3515, device='cuda:0')
tensor(1.1598, device='cuda:0')
tensor(1.1504, device='cuda:0')
tensor(0.8294, device='cuda:0')
tensor(0.6302, device='cuda:0')
tensor(1.3213, device='cuda:0')
tensor(1.3236, device='cuda:0')
tensor(1.7364, device='cuda:0')
tensor(1.0408, device='cuda:0')
tensor(1.0523, device='cuda:0')
tensor(1.0115, device='cuda:0')
tensor(1.2199, device='cuda:0')
tensor(1.2146, device='cuda:0')
tensor(1.0807, device='cuda:0')
tensor(1.1425, device='cuda:0')
tensor(1.1709, device='cuda:0')
tensor(1.1709, device='cuda:0')
tensor(1.0761, device='cuda:0')
tensor(1.0381, device='cuda:0')
tensor(1.0315, device='cuda:0')
tensor(1.2481, device='cuda:0')
tensor(1.4275, device='cuda:0')
tensor(1.1113, device='cuda:0')
tensor(1.3292, device='cuda:0')
tensor(1.0990, device='cuda:0')
tensor(1.0123, device='cuda:0')
tensor(1.3723, device='cuda:0')
tensor(1.1983, device='cuda:0')
tensor(1.2097, device='cuda:0')
tensor(1.0570, device='cuda:0')
tensor(1.1453, device='cuda:0')
tensor(1.0492, device='cuda:0')
tensor(1.2806, device='cuda:0')
tensor(1.2886, device='cuda:0')
tensor(1.3251, device='cuda:0')
tensor(1.3993, device='cuda:0')
tensor(1.4967, device='cuda:0')
tensor(1.5850, device='cuda:0')
tensor(1.4489, device='cuda:0')
tensor(1.8797, device='cuda:0')
tensor(1.3897, device='cuda:0')
tensor(1.1754, device='cuda:0')
tensor(1.4747, device='cuda:0')
tensor(1.6551, device='cuda:0')
tensor(1.4766, device='cuda:0')
tensor(1.6723, device='cuda:0')
tensor(1.1329, device='cuda:0')
tensor(1.1424, device='cuda:0')
tensor(1.0199, device='cuda:0')
tensor(1.2657, device='cuda:0')
tensor(1.5490, device='cuda:0')
tensor(1.6193, device='cuda:0')
tensor(1.5274, device='cuda:0')
tensor(1.6680, device='cuda:0')
tensor(1.3742, device='cuda:0')
tensor(1.0745, device='cuda:0')
tensor(1.2086, device='cuda:0')
tensor(0.9282, device='cuda:0')
tensor(1.1946, device='cuda:0')
tensor(1.6133, device='cuda:0')
tensor(1.3287, device='cuda:0')
tensor(1.2323, device='cuda:0')
tensor(1.5848, device='cuda:0')
tensor(0.9549, device='cuda:0')
tensor(1.0185, device='cuda:0')
tensor(1.0468, device='cuda:0')
tensor(1.9675, device='cuda:0')
tensor(1.7724, device='cuda:0')
tensor(1.4767, device='cuda:0')
tensor(1.6325, device='cuda:0')
tensor(1.7246, device='cuda:0')
tensor(1.6649, device='cuda:0')
tensor(1.7080, device='cuda:0')
tensor(1.3660, device='cuda:0')
tensor(1.3580, device='cuda:0')
tensor(1.2842, device='cuda:0')
tensor(1.5469, device='cuda:0')
tensor(2.1728, device='cuda:0')
tensor(1.8601, device='cuda:0')
tensor(1.8701, device='cuda:0')
tensor(1.6602, device='cuda:0')
tensor(1.8120, device='cuda:0')
tensor(1.5859, device='cuda:0')
tensor(1.7270, device='cuda:0')
