ppl: 3.6177423000335693
nlls:tensor(1.5751, device='cuda:0')
tensor(1.2082, device='cuda:0')
tensor(1.7108, device='cuda:0')
tensor(1.7941, device='cuda:0')
tensor(1.2889, device='cuda:0')
tensor(1.1441, device='cuda:0')
tensor(1.4336, device='cuda:0')
tensor(1.2130, device='cuda:0')
tensor(1.5659, device='cuda:0')
tensor(1.6112, device='cuda:0')
tensor(1.3009, device='cuda:0')
tensor(1.2475, device='cuda:0')
tensor(0.9809, device='cuda:0')
tensor(1.0363, device='cuda:0')
tensor(1.2245, device='cuda:0')
tensor(1.0105, device='cuda:0')
tensor(1.1086, device='cuda:0')
tensor(1.2283, device='cuda:0')
tensor(2.1570, device='cuda:0')
tensor(2.0495, device='cuda:0')
tensor(1.6701, device='cuda:0')
tensor(1.7921, device='cuda:0')
tensor(1.6897, device='cuda:0')
tensor(1.2994, device='cuda:0')
tensor(1.8304, device='cuda:0')
tensor(2.2221, device='cuda:0')
tensor(2.3081, device='cuda:0')
tensor(2.2610, device='cuda:0')
tensor(2.0973, device='cuda:0')
tensor(2.0708, device='cuda:0')
tensor(2.3615, device='cuda:0')
tensor(1.9413, device='cuda:0')
tensor(1.7091, device='cuda:0')
tensor(2.0619, device='cuda:0')
tensor(1.2593, device='cuda:0')
tensor(1.4374, device='cuda:0')
tensor(1.7876, device='cuda:0')
tensor(1.7355, device='cuda:0')
tensor(1.8227, device='cuda:0')
tensor(1.5580, device='cuda:0')
tensor(1.8004, device='cuda:0')
tensor(1.8451, device='cuda:0')
tensor(1.9979, device='cuda:0')
tensor(2.2924, device='cuda:0')
tensor(1.8983, device='cuda:0')
tensor(1.1625, device='cuda:0')
tensor(1.9660, device='cuda:0')
tensor(1.8245, device='cuda:0')
tensor(1.7710, device='cuda:0')
tensor(1.7615, device='cuda:0')
tensor(1.3925, device='cuda:0')
tensor(1.1387, device='cuda:0')
tensor(1.1954, device='cuda:0')
tensor(1.4754, device='cuda:0')
tensor(1.4153, device='cuda:0')
tensor(1.8247, device='cuda:0')
tensor(1.0775, device='cuda:0')
tensor(1.1266, device='cuda:0')
tensor(1.1314, device='cuda:0')
tensor(0.7717, device='cuda:0')
tensor(0.3870, device='cuda:0')
tensor(0.6407, device='cuda:0')
tensor(0.6215, device='cuda:0')
tensor(1.0869, device='cuda:0')
tensor(0.7834, device='cuda:0')
tensor(0.9114, device='cuda:0')
tensor(0.9456, device='cuda:0')
tensor(0.9376, device='cuda:0')
tensor(0.9268, device='cuda:0')
tensor(0.6676, device='cuda:0')
tensor(0.8008, device='cuda:0')
tensor(0.6409, device='cuda:0')
tensor(1.2498, device='cuda:0')
tensor(0.7205, device='cuda:0')
tensor(0.8951, device='cuda:0')
tensor(1.1808, device='cuda:0')
tensor(1.2541, device='cuda:0')
tensor(0.9785, device='cuda:0')
tensor(1.1844, device='cuda:0')
tensor(1.1217, device='cuda:0')
tensor(1.0812, device='cuda:0')
tensor(1.6530, device='cuda:0')
tensor(1.5734, device='cuda:0')
tensor(1.0926, device='cuda:0')
tensor(0.9229, device='cuda:0')
tensor(0.9686, device='cuda:0')
tensor(1.5506, device='cuda:0')
tensor(1.7321, device='cuda:0')
tensor(1.6569, device='cuda:0')
tensor(1.7058, device='cuda:0')
tensor(1.4539, device='cuda:0')
tensor(1.8729, device='cuda:0')
tensor(1.6333, device='cuda:0')
tensor(1.0647, device='cuda:0')
tensor(1.2945, device='cuda:0')
tensor(1.2561, device='cuda:0')
tensor(1.4270, device='cuda:0')
tensor(1.2207, device='cuda:0')
tensor(0.8867, device='cuda:0')
tensor(1.1217, device='cuda:0')
tensor(1.1495, device='cuda:0')
tensor(1.1075, device='cuda:0')
tensor(1.2209, device='cuda:0')
tensor(1.9334, device='cuda:0')
tensor(1.0922, device='cuda:0')
tensor(0.6333, device='cuda:0')
tensor(0.7007, device='cuda:0')
tensor(0.6630, device='cuda:0')
tensor(0.5050, device='cuda:0')
tensor(0.5755, device='cuda:0')
tensor(1.2419, device='cuda:0')
